   0.80000000   0.80000000  -1.52697035 
   0.80000000   0.86666667  -1.53623301 
   0.80000000   0.93333333  -1.54483491 
   0.80000000   1.00000000  -1.55304209 
   0.80000000   1.06666667  -1.56084805 
   0.80000000   1.13333333  -1.56817451 
   0.80000000   1.20000000  -1.57495047 
   0.80000000   1.26666667  -1.58113349 
   0.80000000   1.33333333  -1.58670953 
   0.80000000   1.40000000  -1.59168687 
   0.86666667   0.80000000  -1.53623303 
   0.86666667   0.86666667  -1.54208761 
   0.86666667   0.93333333  -1.54762167 
   0.86666667   1.00000000  -1.55328973 
   0.86666667   1.06666667  -1.55910840 
   0.86666667   1.13333333  -1.56493213 
   0.86666667   1.20000000  -1.57059388 
   0.86666667   1.26666667  -1.57595889 
   0.86666667   1.33333333  -1.58093656 
   0.86666667   1.40000000  -1.58547626 
   0.93333333   0.80000000  -1.54483493 
   0.93333333   0.86666667  -1.54762167 
   0.93333333   0.93333333  -1.55010181 
   0.93333333   1.00000000  -1.55301013 
   0.93333333   1.06666667  -1.55650596 
   0.93333333   1.13333333  -1.56046794 
   0.93333333   1.20000000  -1.56468674 
   0.93333333   1.26666667  -1.56895886 
   0.93333333   1.33333333  -1.57312143 
   0.93333333   1.40000000  -1.57705909 
   1.00000000   0.80000000  -1.55304211 
   1.00000000   0.86666667  -1.55328974 
   1.00000000   0.93333333  -1.55301013 
   1.00000000   1.00000000  -1.55320974 
   1.00000000   1.06666667  -1.55425327 
   1.00000000   1.13333333  -1.55611635 
   1.00000000   1.20000000  -1.55860743 
   1.00000000   1.26666667  -1.56149809 
   1.00000000   1.33333333  -1.56458163 
   1.00000000   1.40000000  -1.56769283 
   1.06666667   0.80000000  -1.56084807 
   1.06666667   0.86666667  -1.55910840 
   1.06666667   0.93333333  -1.55650596 
   1.06666667   1.00000000  -1.55425327 
   1.06666667   1.06666667  -1.55293270 
   1.06666667   1.13333333  -1.55265749 
   1.06666667   1.20000000  -1.55329194 
   1.06666667   1.26666667  -1.55461389 
   1.06666667   1.33333333  -1.55639910 
   1.06666667   1.40000000  -1.55845513 
   1.13333333   0.80000000  -1.56817452 
   1.13333333   0.86666667  -1.56493212 
   1.13333333   0.93333333  -1.56046794 
   1.13333333   1.00000000  -1.55611635 
   1.13333333   1.06666667  -1.55265749 
   1.13333333   1.13333333  -1.55036420 
   1.13333333   1.20000000  -1.54918163 
   1.13333333   1.26666667  -1.54891160 
   1.13333333   1.33333333  -1.54932470 
   1.13333333   1.40000000  -1.55021126 
   1.20000000   0.80000000  -1.57495048 
   1.20000000   0.86666667  -1.57059388 
   1.20000000   0.93333333  -1.56468674 
   1.20000000   1.00000000  -1.55860742 
   1.20000000   1.06666667  -1.55329194 
   1.20000000   1.13333333  -1.54918163 
   1.20000000   1.20000000  -1.54632325 
   1.20000000   1.26666667  -1.54455699 
   1.20000000   1.33333333  -1.54365700 
   1.20000000   1.40000000  -1.54340178 
   1.26666667   0.80000000  -1.58113350 
   1.26666667   0.86666667  -1.57595889 
   1.26666667   0.93333333  -1.56895886 
   1.26666667   1.00000000  -1.56149809 
   1.26666667   1.06666667  -1.55461389 
   1.26666667   1.13333333  -1.54891160 
   1.26666667   1.20000000  -1.54455699 
   1.26666667   1.26666667  -1.54144165 
   1.26666667   1.33333333  -1.53935061 
   1.26666667   1.40000000  -1.53805532 
   1.33333333   0.80000000  -1.58670954 
   1.33333333   0.86666667  -1.58093656 
   1.33333333   0.93333333  -1.57312143 
   1.33333333   1.00000000  -1.56458163 
   1.33333333   1.06666667  -1.55639910 
   1.33333333   1.13333333  -1.54932470 
   1.33333333   1.20000000  -1.54365700 
   1.33333333   1.26666667  -1.53935061 
   1.33333333   1.33333333  -1.53620683 
   1.33333333   1.40000000  -1.53399312 
   1.40000000   0.80000000  -1.59168688 
   1.40000000   0.86666667  -1.58547626 
   1.40000000   0.93333333  -1.57705909 
   1.40000000   1.00000000  -1.56769283 
   1.40000000   1.06666667  -1.55845513 
   1.40000000   1.13333333  -1.55021126 
   1.40000000   1.20000000  -1.54340178 
   1.40000000   1.26666667  -1.53805532 
   1.40000000   1.33333333  -1.53399312 
   1.40000000   1.40000000  -1.53098017 
