   0.80000000   0.80000000  -1.58326241 
   0.80000000   0.85000000  -1.58810349 
   0.80000000   0.90000000  -1.59176998 
   0.80000000   0.95000000  -1.59468060 
   0.80000000   1.00000000  -1.59711239 
   0.80000000   1.05000000  -1.59924137 
   0.80000000   1.10000000  -1.60117391 
   0.80000000   1.15000000  -1.60297024 
   0.80000000   1.20000000  -1.60466132 
   0.85000000   0.80000000  -1.58810350 
   0.85000000   0.85000000  -1.59178266 
   0.85000000   0.90000000  -1.59433175 
   0.85000000   0.95000000  -1.59619331 
   0.85000000   1.00000000  -1.59766212 
   0.85000000   1.05000000  -1.59892488 
   0.85000000   1.10000000  -1.60009191 
   0.85000000   1.15000000  -1.60122190 
   0.85000000   1.20000000  -1.60234037 
   0.90000000   0.80000000  -1.59176998 
   0.90000000   0.85000000  -1.59433175 
   0.90000000   0.90000000  -1.59578261 
   0.90000000   0.95000000  -1.59659092 
   0.90000000   1.00000000  -1.59707325 
   0.90000000   1.05000000  -1.59743195 
   0.90000000   1.10000000  -1.59778630 
   0.90000000   1.15000000  -1.59819796 
   0.90000000   1.20000000  -1.59869064 
   0.95000000   0.80000000  -1.59468060 
   0.95000000   0.85000000  -1.59619331 
   0.95000000   0.90000000  -1.59659092 
   0.95000000   0.95000000  -1.59636727 
   0.95000000   1.00000000  -1.59586283 
   0.95000000   1.05000000  -1.59529923 
   0.95000000   1.10000000  -1.59480894 
   0.95000000   1.15000000  -1.59446069 
   0.95000000   1.20000000  -1.59428018 
   1.00000000   0.80000000  -1.59711239 
   1.00000000   0.85000000  -1.59766212 
   1.00000000   0.90000000  -1.59707325 
   1.00000000   0.95000000  -1.59586283 
   1.00000000   1.00000000  -1.59439552 
   1.00000000   1.05000000  -1.59291439 
   1.00000000   1.10000000  -1.59156818 
   1.00000000   1.15000000  -1.59043598 
   1.00000000   1.20000000  -1.58954846 
   1.05000000   0.80000000  -1.59924137 
   1.05000000   0.85000000  -1.59892488 
   1.05000000   0.90000000  -1.59743195 
   1.05000000   0.95000000  -1.59529923 
   1.05000000   1.00000000  -1.59291439 
   1.05000000   1.05000000  -1.59054293 
   1.05000000   1.10000000  -1.58835202 
   1.05000000   1.15000000  -1.58643349 
   1.05000000   1.20000000  -1.58482525 
   1.10000000   0.80000000  -1.60117391 
   1.10000000   0.85000000  -1.60009191 
   1.10000000   0.90000000  -1.59778630 
   1.10000000   0.95000000  -1.59480894 
   1.10000000   1.00000000  -1.59156818 
   1.10000000   1.05000000  -1.58835202 
   1.10000000   1.10000000  -1.58534762 
   1.10000000   1.15000000  -1.58266159 
   1.10000000   1.20000000  -1.58034082 
   1.15000000   0.80000000  -1.60297024 
   1.15000000   0.85000000  -1.60122190 
   1.15000000   0.90000000  -1.59819796 
   1.15000000   0.95000000  -1.59446069 
   1.15000000   1.00000000  -1.59043598 
   1.15000000   1.05000000  -1.58643349 
   1.15000000   1.10000000  -1.58266159 
   1.15000000   1.15000000  -1.57924362 
   1.15000000   1.20000000  -1.57623726 
   1.20000000   0.80000000  -1.60466132 
   1.20000000   0.85000000  -1.60234037 
   1.20000000   0.90000000  -1.59869064 
   1.20000000   0.95000000  -1.59428018 
   1.20000000   1.00000000  -1.58954846 
   1.20000000   1.05000000  -1.58482525 
   1.20000000   1.10000000  -1.58034082 
   1.20000000   1.15000000  -1.57623726 
   1.20000000   1.20000000  -1.57258492 
