"","muestra","Concentración.Clorofila.A","Concentración.Clorofila.B","Concentración.Clorofila.C"
"1","E1",4.7120625,0.69625,0.69625
"2","E2",2.12311111111111,0.360166666666667,0.360166666666667
"3","E3",3.662375,0.5330625,0.5330625
"4","E4",2.48735714285714,0.448214285714286,0.448214285714286
