"time","GEN","TEM","STRUCT"
0,1,1,1
1.22153137097475,3,1,458
2.18229888906441,3,1,490
3.16486285887627,3,1,496
4.12776886385189,4,1,541
5.10082844537276,3,1,525
6.11721384466802,3,1,495
7.12691066335758,3,1,529
11.5507684261637,3,1,206
12.665780152768,3,1,484
13.8328844119038,4,0,320
17.4180204605344,3,1,449
18.437111333215,3,1,511
19.4274155615551,6,1,504
20.4006829385854,8,1,494
26.0820112845513,7,1,378
34.2765128781806,7,1,351
35.3753112740389,8,1,464
37.2155113830476,9,0,48
39.8612950140686,9,1,587
40.8318833860263,10,1,544
47.449467612426,9,1,356
48.3897766684989,8,2,611
48.9707138718212,9,2,842
49.5284924115899,9,2,956
50.0400943647068,10,2,1039
50.7750559486019,11,1,617
51.7608385562673,12,1,472
52.6907806964142,12,2,580
53.2594598192408,12,2,856
53.8088896940703,14,2,950
54.300881924607,17,2,961
54.7791733103061,20,3,1156
55.1480199466256,20,3,1340
55.5041078417663,22,3,1410
55.8498816354068,22,3,1506
56.1746283825622,22,3,1484
56.4984570467283,24,3,1438
56.8398687082518,25,3,1529
57.1222005701067,25,4,1715
57.4496912030356,26,3,1673
57.832613520806,26,2,1308
58.2828637836567,27,2,1143
58.7610460413416,29,2,1063
59.2084541609516,28,2,1095
59.6812425809101,29,2,1064
60.1686551185017,28,2,1036
60.6328421331249,27,3,1109
61.0469321667111,27,2,1170
61.531300043792,28,2,1031
61.9493643765056,30,3,1243
62.3060451640537,32,3,1304
62.6533546298933,32,3,1438
62.9981891441817,32,3,1467
63.3340258620848,31,3,1457
63.6687672935512,30,3,1489
64.0157835893403,31,2,1481
64.4498373260783,33,2,1197
64.924482191312,34,2,1094
65.433410046641,37,1,994
66.0271736845132,38,3,951
66.4031087393817,39,3,1240
66.8273954537331,41,2,1184
67.2241361317772,41,3,1284
67.570131732153,41,3,1430
67.8594593584743,40,4,1616
68.1773282775308,40,3,1629
68.5183586034186,40,3,1482
68.856985376855,40,3,1506
69.2078467628796,44,2,1431
69.6420510107881,45,2,1192
70.0156526755853,44,3,1361
70.3688609925311,45,3,1426
70.65488902605,44,4,1663
70.9247578774864,45,4,1796
71.1898876798739,48,4,1881
71.4534848984999,49,4,1952
71.7095652045457,50,4,1977
71.9632326774311,50,4,1955
72.2210971058289,51,4,1994
72.4739774939998,51,4,1992
72.7234079431002,52,4,2067
72.9783733873712,53,3,2033
73.2293920915083,53,4,2033
73.4791173712489,53,4,2075
73.7556854224601,55,3,1886
74.068917927222,55,3,1718
74.3803567995376,58,3,1627
74.6758142892613,55,5,1683
74.8848055076516,56,6,2114
75.0733214285367,56,6,2390
