"time","GEN","TEM","STRUCT"
0,1,1,1
1.47506449686018,1,0,209
8.0314050656858,1,1,405
9.11472229834626,1,1,451
10.4134825525949,2,0,205
19.1882183192184,2,1,429
20.2137236231258,3,1,486
30.9311472321101,3,1,431
32.0153334702566,4,1,492
33.0065824124397,6,1,484
34.2784204979453,7,0,214
42.6507088148972,9,1,426
46.249307511117,9,2,516
46.8286407878078,9,2,874
47.4234557481267,11,1,751
48.3170526720115,11,1,543
49.2925473613007,12,1,520
50.3263566649114,14,1,520
53.1450929538461,14,1,431
54.2056567860887,14,1,505
55.0078419438788,12,3,783
55.4303465260134,13,3,1188
55.8959493239447,14,2,1036
56.4716019046221,14,1,843
57.3406359276852,20,1,549
58.3256415327485,21,1,514
59.3074196644619,21,1,462
60.1630789422348,22,3,717
60.5791967325169,24,3,1175
60.9047379508177,24,4,1517
61.1757544673964,24,4,1759
61.4355442979598,24,4,1894
61.6992758657802,25,3,1888
62.0033096174247,25,3,1698
62.3226083371159,26,3,1633
62.6339161926778,25,4,1626
62.9013430543443,25,4,1820
63.168210862997,26,4,1821
63.4353094325939,26,4,1920
63.6957561809527,26,4,1926
63.948834479056,26,4,1918
64.2134220983233,27,4,1947
64.4682994227159,28,4,1970
64.7347607927314,30,4,1980
65.0362252835853,30,3,1753
65.3452378192889,31,4,1664
65.6247260829074,32,4,1785
65.8879636537587,30,5,1976
66.1156199180213,33,5,2157
66.3224595017999,33,4,2292
66.5407291122042,33,4,2252
66.7762784052271,33,4,2188
67.0170020130836,33,4,2105
67.2531646904041,34,4,2132
67.4907756167818,37,4,2061
67.7442613002776,37,4,2049
67.9826778549561,36,5,2052
68.1935918776035,37,5,2251
68.4075818636988,36,6,2338
68.578490417373,35,7,2644
68.7709629100879,35,5,2598
68.9642772082967,36,5,2619
69.1614849972789,37,5,2556
69.3561075246733,37,5,2610
69.5457593512476,37,6,2616
69.7261374318117,38,6,2629
69.8967185464938,40,6,2803
70.1022733115512,39,4,2573
70.3400856677585,39,3,2358
70.6134341073101,39,3,1942
70.8946244323791,40,4,1873
71.1485341838106,39,5,2018
71.4063906765706,38,3,1934
71.7051002032076,38,3,1718
72.0274728098573,40,3,1600
72.4371899196453,40,2,1263
72.9023127404547,41,2,1074
73.296004208969,39,4,1280
73.5838502026202,42,4,1609
73.8506953745288,43,4,1730
74.1068946295796,45,4,1846
74.3522151189086,47,4,1940
74.6122665446824,47,4,1926
74.87240006169,48,5,1979
75.0882668858957,48,6,2165
75.2769250035209,49,6,2422
75.4647902601529,51,6,2542
75.6461179017226,52,6,2671
75.822333417104,54,6,2775
76.0091942516153,54,5,2704
76.200025899437,53,6,2661
76.3744141860053,52,7,2800
76.5308489738965,56,7,3028
76.6797547406818,57,7,3153
76.8273626745175,57,7,3239
76.9734613880741,57,7,3261
77.1199063722926,58,7,3310
77.2722241211746,60,7,3288
77.4212831367759,64,7,3360
77.5724616088298,63,6,3195
77.7356392634255,63,6,3201
77.8949018129361,63,7,3181
78.046770856471,64,7,3272
78.1906868451445,64,7,3376
78.3397810918157,64,7,3472
78.4878650258374,63,6,3415
78.6413792081441,63,6,3275
78.8027569930984,63,6,3121
78.9639759326471,63,6,3089
79.1329952148077,62,6,3119
79.2883461857699,61,7,3101
79.4428358499743,62,6,3163
79.6070353302899,64,6,3073
79.7836595835445,64,5,2992
79.9528433179043,63,6,2953
80.1192911798035,62,7,3014
80.2631779890094,63,8,3191
80.401769334279,63,8,3461
80.533300213422,64,8,3601
80.6607594725354,66,8,3721
80.7977825331565,68,8,3787
80.9227200580982,69,8,3878
81.0482364291494,70,8,3917
81.1783476393225,71,7,3891
81.3130102464961,69,7,3827
81.4523328939317,69,7,3752
81.5896642905915,70,7,3681
81.7413016378274,72,6,3584
81.8879658524323,72,7,3450
82.0308673048921,74,7,3450
82.1754315306394,75,7,3525
82.3250621386337,74,6,3518
82.4752671113554,75,6,3477
82.6323968730294,77,6,3363
82.7872993217118,76,6,3245
82.9488108866752,77,6,3092
83.1174319542204,80,6,3041
83.2812909587859,81,6,3056
83.4288076050604,80,8,3251
83.5671054649818,79,8,3525
83.6996719248651,78,9,3680
83.823224011091,82,9,3762
83.9460295227117,84,8,3779
84.0805975483892,85,8,3861
84.210234640048,84,7,3825
84.3457768594778,84,7,3771
84.4783205552527,82,9,3846
84.5970259669268,82,9,3968
84.7155563511556,82,9,4052
84.8289822963702,81,9,4122
84.9513119530921,80,8,4113
85.0738903589244,83,8,4066
85.1980597350445,83,8,4152
85.3194528226089,84,8,4057
85.4410534084432,85,8,4040
85.5592124602479,84,10,4139
85.6689882324478,84,9,4222
85.7743572827385,83,10,4337
85.8838567092406,84,10,4462
85.9877020360671,87,10,4635
86.08741043909,88,10,4718
86.1891924316331,88,10,4815
86.2930995627767,87,10,4863
86.3947312685488,87,10,4943
86.4966428995371,87,10,4945
86.5978175598274,87,10,4947
86.7012544179761,87,9,5014
86.8099000813206,88,9,4855
86.9139416634574,88,9,4745
87.0307230230977,89,8,4649
87.1502711761301,90,8,4552
87.2669641456909,91,8,4505
87.3958198599416,91,8,4352
87.5213873124271,93,8,4192
87.6428247086857,94,8,4121
87.7674753261217,95,8,4088
87.8916196164108,95,8,4074
88.0119735786262,94,8,4062
88.1324371710055,92,9,4013
88.2469746119962,96,9,4045
88.3620208820775,97,9,4172
88.4802678900593,101,9,4234
88.5947512071353,101,9,4348
88.702135745469,100,10,4453
88.8091908024564,99,11,4626
88.9072191111966,102,11,4805
89.0007589886079,103,11,4926
89.0976088027427,103,11,5000
89.1864857169805,103,12,5138
89.2790181391218,103,13,5341
89.3621618450986,102,13,5481
89.4426652513426,105,13,5666
89.5271475273388,105,13,5796
89.6089914983777,106,13,5905
89.6902465313956,107,13,6034
89.7709539214241,106,13,6176
89.851187617777,106,13,6224
89.9296367294327,106,13,6285
90.0086072885608,106,13,6314
90.0904261959798,107,13,6367
90.165579986143,106,14,6492
90.2396618060638,107,14,6614
90.312059500542,109,14,6654
90.3839630247266,110,15,6732
90.4554368049533,111,14,6764
90.5277392059444,112,14,6799
90.5974139338425,111,15,6862
90.6675841734356,113,15,6985
90.7369036709702,113,15,7043
90.8077792782725,114,14,7031
90.8827845329803,115,13,7069
90.9571613577817,118,13,6996
91.0290565856602,118,12,6919
91.1057144515864,116,13,6814
91.1795360653821,115,13,6759
91.257013377859,114,12,6642
91.3348513988959,113,13,6615
91.4108970254266,115,13,6691
91.483593867794,117,13,6623
91.5591872338664,114,15,6583
91.6285642914911,116,15,6703
91.6995575951909,116,15,6867
91.7691985356525,115,15,6896
91.835622094591,116,13,6987
91.9070647103963,115,13,6875
91.980610716279,116,13,6789
92.0519672316934,116,13,6784
92.1243129545043,117,14,6869
92.198327668393,116,14,6900
92.270236989549,117,14,6980
92.3450411949141,117,12,6881
92.4235681167347,117,12,6695
92.503796251145,117,12,6524
92.5832071468657,117,12,6431
92.6621191243568,117,12,6318
92.7413949136483,117,12,6284
92.8236395510173,118,12,6221
92.9058249261967,120,12,6283
92.990019122956,121,11,6196
93.078971068115,123,10,6083
93.1654605975224,124,10,5930
93.2571440501152,126,10,5804
93.3398649506828,125,12,5779
93.4275362191399,125,12,5823
93.5129792757654,126,12,5868
93.5965884393465,126,12,5910
93.6782961910349,124,13,5957
93.7562550485823,126,13,6075
93.8353729213849,126,14,6150
93.9145296035733,126,12,6156
93.9985045773229,130,12,6098
94.0831719321049,133,12,6005
94.1623455055064,135,12,6116
94.2447489081559,135,12,6096
94.3307412104601,134,12,6056
94.4135443376942,136,12,6006
94.4984534714729,136,12,5994
94.5843211046244,135,11,6023
94.6730807407812,135,11,5891
94.7588818006699,134,11,5877
94.8503101581544,136,11,5899
94.9422283525584,137,11,5798
95.0311604339231,140,11,5779
95.1221482766123,140,11,5713
95.2156998047368,140,11,5676
95.3015096474987,139,12,5654
95.3898754268981,140,12,5697
95.4746139420511,143,13,5680
95.5553696574868,144,13,5831
95.6367595526216,144,13,6018
95.7189596247,147,13,6103
95.7970349940155,147,13,6192
95.8724584159015,146,14,6321
95.9477023397555,146,14,6513
96.0207625935798,146,12,6597
96.1012054863326,146,12,6525
96.183475827919,146,12,6478
96.266631127645,147,11,6392
96.3471984266037,144,12,6435
96.4253650728262,143,12,6398
96.5073872833587,143,12,6438
96.5890878947682,142,12,6406
96.6671306753488,140,13,6392
96.7445874520588,141,13,6439
96.8227577915761,142,14,6502
96.8962735162108,144,14,6636
96.9700990204748,144,14,6620
97.0441684801488,144,14,6663
97.1200767645545,143,13,6662
97.1959188355932,144,13,6733
97.2681129426965,146,14,6725
97.338927464502,146,14,6827
97.409602520627,145,14,6833
97.4844267994492,145,14,6854
97.5573456135466,145,14,6902
97.6273592388214,144,15,7027
97.7003627142474,145,14,7039
97.7744666517495,144,14,6988
97.8421369759168,147,14,6981
97.9124116044738,148,14,6960
97.982931253374,149,15,7065
98.0467199618503,147,17,7185
98.1105422786623,148,16,7351
98.1770927042525,149,15,7401
98.2452997575481,148,15,7396
98.3119062391115,149,16,7529
98.3773394871076,151,16,7617
98.4402432552636,151,15,7630
98.5058715509078,152,15,7651
98.5716625633229,152,15,7674
98.6365643629599,151,15,7640
