"time","GEN","TEM","STRUCT"
0,1,1,1
1.23942945174155,2,1,495
15.201710117622,2,1,250
16.3278851228814,3,1,495
17.3335640960921,4,1,516
18.3046271803221,4,1,532
19.1644570719336,4,2,660
19.7202358667309,4,2,876
20.2457226864035,4,2,960
20.7486631591948,4,2,932
21.233963987597,4,2,982
21.733687131136,4,2,968
22.5563792910967,4,1,613
23.5458846952787,5,1,498
24.5701903421063,5,1,474
25.5879191405618,6,1,503
33.9655933971532,6,1,366
35.0081065696892,7,1,487
36.0225739027196,8,1,496
37.5786348350492,9,0,122
51.0476661326943,7,2,680
51.6056545802923,7,2,854
53.0610894747162,8,0,103
54.3347976541513,9,1,440
55.3365527722029,9,1,510
56.3245597992649,8,1,488
57.1782957687921,10,2,672
57.8226182017367,10,2,709
58.3368660916022,11,2,923
58.831534249593,12,2,1018
59.3273382655323,13,2,1009
59.823186204114,13,2,1015
60.3243487100871,13,2,991
60.7996089159977,12,3,1046
61.1593745465732,13,3,1249
61.5066068786469,13,3,1373
61.859667285733,13,3,1463
62.1863628491805,13,3,1547
62.5206589653996,13,3,1491
62.8570441733686,15,3,1469
63.1939999595278,16,3,1454
63.5260473135313,15,3,1476
64.0820288995414,18,1,853
64.9614241838169,18,1,575
65.8037461829944,17,2,662
66.3635260241949,18,2,901
66.8787970196329,18,2,1013
67.385849013506,19,2,1024
67.8819409265024,20,2,1015
68.3747484872143,20,3,1023
68.7499358089454,21,3,1256
69.1081657654716,21,2,1325
69.5820298935628,22,2,1106
69.9556098996347,21,3,1281
70.3188492593306,21,3,1395
70.6632551589876,21,3,1473
71.0934891378225,21,2,1224
71.6417920907804,22,1,890
72.4405015533823,25,2,685
73.0032139615972,26,2,906
73.4950696693259,25,3,1101
73.8660531878209,25,3,1315
74.1998953788502,26,3,1370
74.5406175854473,26,3,1442
74.9604430205492,27,2,1220
75.4298467605473,28,2,1099
75.8431262808685,27,3,1262
76.2454069960536,27,1,1188
77.2029331576012,28,0,402
78.5574240353262,25,1,431
79.4156804653453,26,2,722
80.2974939255789,28,1,507
82.1963142252272,29,1,127
83.1004780136542,26,3,785
83.5030488027978,28,3,1145
83.875599542363,29,3,1330
84.2222457816728,29,3,1336
84.5648777876197,32,3,1391
84.8976784780262,32,3,1441
85.2323340362735,32,4,1519
85.5065934220422,36,4,1633
85.7740513520237,39,3,1709
86.0954934324795,38,3,1631
86.4165084188752,40,3,1587
86.7190880721148,40,4,1664
86.9800003874777,42,4,1784
87.2427403081897,42,4,1906
87.4718598081887,41,5,2067
87.7232698414964,43,4,2024
87.9605256511834,44,4,2042
88.2137850367047,44,4,1996
88.440877532333,44,4,2115
88.6949868517688,44,3,1988
89.0253732937089,45,3,1660
89.3366742816054,47,3,1610
89.7448354256186,47,2,1257
90.2022622317612,47,2,1149
90.6743584888997,48,2,1086
91.0861662628079,51,3,1219
91.4492743448115,52,3,1340
91.7193936461764,50,5,1710
91.9499731831772,52,5,2050
92.1676446010369,53,5,2173
92.3712522132643,54,6,2420
92.5465860740179,54,6,2642
92.7204217602849,55,6,2769
92.8894261878552,56,6,2904
93.0494398503351,56,6,2982
93.2110991285298,57,6,2997
93.3812626285453,57,5,2962
93.5493720992792,55,7,2926
93.7082040615545,55,6,2972
93.8705746514634,56,6,3003
94.0331653362148,56,6,3039
94.1939539879461,56,7,3025
94.3499215106284,58,7,3151
94.5006999884634,58,7,3221
94.6555789552874,58,7,3182
94.8196936689522,59,6,3214
94.9848453190489,61,6,3154
95.1385121126099,60,7,3187
95.2807702817321,61,7,3212
95.4216971268599,62,7,3317
95.5639267197028,63,7,3390
95.7097617677761,64,7,3481
95.8491339797037,64,7,3431
95.9799190334859,65,7,3529
96.1326431111017,67,6,3354
96.2998609640384,67,6,3225
96.4638174497234,67,6,3155
96.6231373672405,69,6,3125
96.7810906487249,70,6,3092
96.9406007318602,69,6,3110
97.1081396818318,70,5,3074
97.2881876698776,70,5,2903
97.4759079914953,70,5,2759
97.667113035342,71,5,2742
97.8483475971713,71,6,2855
98.0175872458926,71,6,2888
98.1855161038117,71,7,2984
98.3400265920891,72,7,3135
98.4840677336423,72,7,3271
98.6259793699307,71,8,3330
98.7607347022123,71,8,3553
98.886716689277,70,8,3663
99.0197906596727,70,9,3731
99.1427217030169,69,9,3867
99.263438999804,70,9,4002
99.3765399586413,70,9,4140
99.4942768508227,73,8,4212
99.6140809793997,73,8,4192
99.7371728249852,74,8,4107
99.8619147091508,73,9,4048
99.9800196648669,73,9,4150
100.097229056953,74,9,4228
100.210713157335,74,9,4312
100.325097671799,74,9,4342
100.440728415149,76,9,4360
100.553093540473,76,8,4346
100.675558474439,75,8,4270
100.799903985231,76,8,4244
100.924174064359,77,9,4209
101.041213527107,77,9,4259
101.153862364163,78,9,4346
101.271628074554,79,9,4351
101.383489807451,79,9,4395
101.494031776303,78,10,4434
