"time","GEN","TEM","STRUCT"
0,1,1,1
2.88349161960194,1,1,417
3.90711419630857,1,1,507
4.89402316845215,1,1,525
65.6316599910106,0,1,347
66.7050082401919,1,1,486
67.7501368819035,3,1,472
68.7180045271457,3,1,518
75.7437845079942,2,1,324
97.9732873216551,1,1,368
98.9997368091541,2,1,479
100.007119949026,2,1,505
101.028472639714,3,1,492
101.990784126493,3,1,544
102.978941544863,4,1,531
103.99313026663,4,1,513
104.96030340091,6,1,515
105.976711946259,7,1,472
106.978493650202,8,1,503
107.979594020694,9,1,472
108.950633394263,10,1,493
109.902569893555,9,2,546
110.441240116194,9,3,942
110.927075910025,13,2,1037
111.520407758143,13,2,830
112.035087036608,13,2,986
112.534998425365,14,2,1039
113.025598750056,15,2,1008
113.538839368791,15,2,960
114.041537715051,14,2,966
114.546799094368,16,2,1010
115.025664663705,16,3,1084
115.426886745063,16,2,1155
115.904416826938,16,2,1035
116.525195463631,17,1,743
122.520427031954,17,1,368
125.779189331637,16,1,309
126.372446721683,16,2,833
126.905768253063,17,2,948
127.427492043702,18,2,919
127.863156875102,18,3,1219
128.225840482408,20,3,1365
128.570183714797,22,3,1413
128.895855439616,22,3,1464
129.246325067981,22,2,1483
129.682670236926,22,2,1197
130.397728295931,22,1,660
131.313647776368,23,1,571
131.976117772474,23,2,857
132.507933067488,25,3,1021
132.905440432558,28,3,1230
133.252801060563,28,4,1433
133.511807780252,27,5,1766
133.779140076574,28,4,1906
134.030686493861,28,4,2044
134.280999285703,28,4,2000
134.536120292077,29,4,2023
134.790493919744,30,4,2020
135.031222585097,30,5,2082
135.274053166862,33,4,2070
135.519003489456,33,4,2062
135.752908119875,32,5,2099
135.961041900901,32,5,2269
136.168978144124,33,5,2394
136.373148655545,32,5,2424
136.582102475205,33,5,2383
136.781580591824,36,5,2398
136.98342617624,36,5,2523
137.187105953485,35,5,2543
137.379822080258,37,5,2591
137.585115781525,38,5,2561
137.813021455888,39,4,2399
138.046783568941,41,4,2257
138.262829792994,43,5,2297
138.474151860922,44,5,2366
138.696199473189,45,4,2306
138.929909805738,45,4,2172
139.172816770249,45,4,2105
139.41196008125,46,4,2091
139.618724836565,44,6,2351
139.797396204524,46,6,2525
139.974542524973,46,6,2675
140.151823258856,46,6,2729
140.337682355356,47,5,2825
140.531393330489,48,5,2708
140.734110825112,47,5,2566
140.932171463314,47,5,2536
141.143531127971,47,5,2560
141.342673541235,47,5,2514
141.548117993927,47,5,2487
141.754167069584,48,5,2538
141.945718069246,49,5,2547
142.149980694711,49,4,2444
142.386917717015,51,4,2262
142.624131334876,52,4,2143
142.859877320185,52,4,2133
143.096689692167,53,4,2058
143.380678721587,53,3,1845
143.684474199853,53,3,1701
143.984001125992,55,4,1769
144.243210813752,54,4,1845
144.489732599597,55,5,1994
144.701450967808,55,5,2204
144.919964175542,54,5,2274
145.13903825563,56,5,2354
145.337994960802,56,5,2334
145.552383908702,56,4,2267
145.789093283021,57,4,2210
146.018818424028,55,5,2201
146.218920053238,57,5,2331
146.424603055667,56,5,2379
146.625251667124,56,5,2511
146.81573164273,56,5,2557
147.035998634556,57,4,2373
147.264208698389,55,5,2260
147.46854708601,55,5,2396
147.655293252988,55,6,2559
147.827779617608,54,7,2728
148.004734184215,54,6,2797
148.197194236578,54,5,2661
148.375648484644,53,6,2758
148.533781062526,52,7,2946
