"time","GEN","TEM","STRUCT"
0,1,1,1
1.20549003063603,6,1,477
2.27271001299122,7,1,450
3.23389037205621,9,1,533
4.1714645032712,9,1,541
13.0484467752076,8,2,633
13.4954843688583,7,2,1055
13.9961436837568,7,2,1005
14.4400287385484,7,3,1137
14.7920623408467,10,3,1354
15.1420598911746,11,3,1399
15.4900688290473,11,3,1431
15.8415035321061,13,2,1418
16.264435265284,14,2,1141
16.9473072451019,13,1,658
17.9755708006804,14,0,336
20.5718393755747,16,1,416
21.5196766344715,20,1,496
22.4312700174198,20,2,644
22.9840974893018,22,2,924
23.4708971147184,20,3,1100
23.8253654195852,20,3,1284
24.1549876149209,20,4,1524
24.4566134224325,20,4,1615
24.7172322520959,21,4,1790
25.0293302494205,21,3,1589
25.3479101835144,22,3,1604
25.6731129921132,22,4,1558
25.9132594696636,21,5,1901
26.1252986013922,20,5,2075
26.3435237985756,21,5,2186
26.5504907028912,25,5,2372
26.7470640960255,26,4,2428
26.9781268217125,26,4,2204
27.2264981295138,27,4,2154
27.4692598163231,28,4,2127
27.7154233677631,29,4,2068
27.9619377628179,29,4,2062
28.1823935915664,30,5,2201
28.3957825513964,31,5,2332
28.5997196660647,33,6,2376
28.7924724191663,32,6,2532
28.9808567255259,32,5,2565
29.1654094382541,31,6,2614
29.3429423311429,35,6,2754
29.5207302608549,35,5,2723
29.7261805997406,35,5,2633
29.9290814020224,36,4,2495
30.1410665434611,35,4,2439
30.3545921595846,33,6,2403
30.5417233906744,34,6,2558
30.7193888753222,36,5,2655
30.9174710295481,37,4,2451
31.1456773053486,38,4,2306
31.4181869226207,38,3,1974
31.7193065420768,40,3,1760
31.9897843943285,39,4,1833
32.2431931496071,40,4,1912
32.4922027911361,41,4,1977
32.744175217728,42,4,1990
32.9907995143491,42,4,1963
33.2412722022382,43,4,2042
33.4956565365997,45,4,2002
33.7494737930535,46,4,2045
34.0359204035045,48,3,1836
34.342779520507,49,3,1691
34.6720044001724,51,3,1641
35.0015849355659,50,3,1553
35.3439008779506,50,3,1507
35.6435049843802,51,4,1662
35.9151011400087,51,4,1834
36.1812113096908,51,4,1895
36.4446076832332,52,3,1879
36.7606383548747,53,3,1748
37.0730970031782,55,3,1644
37.389351628722,56,3,1593
37.662812608556,57,5,1792
37.8944360151534,58,5,2043
38.1238038564065,58,4,2004
38.3559876267244,58,5,2100
38.5566007473206,57,6,2379
38.7447976179286,57,6,2522
38.9388723428607,58,5,2550
39.1531447200479,57,4,2447
39.3776060971697,56,4,2301
39.6271687121738,56,4,2134
39.8671198224085,56,4,2088
40.1149309946696,57,4,2045
40.3567550122512,58,4,2030
40.607680004749,63,4,1987
40.8557667804763,63,4,1997
41.1099848717022,64,4,2006
41.3457303974195,63,5,2145
41.5591471616114,64,5,2318
41.7570869352747,62,6,2455
41.9364747927848,63,6,2596
42.116942759153,63,6,2716
42.2924547924684,64,6,2801
42.4609667835387,66,6,2887
42.6316804401189,66,6,2917
42.8163288378811,67,5,2775
43.0079351140554,70,5,2733
43.2096491831323,70,5,2512
43.3956418117867,71,5,2662
43.5889837463575,71,5,2642
43.7846712681699,71,5,2664
43.9778627432263,71,5,2590
44.1688814072305,71,5,2564
44.3711797350054,72,5,2517
44.5794359881125,72,4,2396
44.8143646529128,72,3,2289
45.0878883581396,69,5,2045
45.3070753788007,70,5,2196
45.4902309966656,70,6,2489
45.663682091728,70,6,2673
45.8262066446981,70,7,2941
45.9909619723176,71,6,3003
46.1525462958821,70,6,3015
46.3195050627397,69,6,3123
46.4816100002905,72,5,3073
46.663019387004,73,5,2898
46.8589939090489,76,4,2616
47.0849121378097,78,4,2338
47.3209120914034,78,4,2158
47.5611973311447,79,4,2119
47.8003989928941,80,4,2028
48.0421799294955,81,4,1997
48.2995275387795,82,4,2076
48.5674136323609,84,2,1880
48.9558996214742,85,2,1413
49.3219608062053,83,3,1371
49.6230628685747,82,4,1644
49.8935300979135,84,4,1812
50.1448504066024,84,5,1990
50.3520315281027,82,6,2291
50.5346347200512,82,6,2539
50.7123891962382,84,6,2656
50.9131737940059,85,5,2566
51.1412205082194,85,3,2304
51.4018971989091,84,4,2065
51.6507801139637,85,4,2050
51.8968306900467,87,4,2025
52.1250927177813,88,5,2218
52.3280682228928,89,5,2355
52.5515054297621,90,4,2303
52.7908394920443,89,4,2124
53.0218999592351,88,5,2181
53.2290537469738,90,5,2341
53.4314672020525,90,5,2409
53.6260015563015,91,5,2382
53.83149337307,91,5,2388
54.0442803038395,93,5,2436
54.241369445819,91,6,2401
54.4343559862645,91,5,2522
54.6322308005067,91,5,2451
54.8575204077114,90,5,2359
55.0682335065059,91,5,2420
55.2526180759253,90,6,2581
55.4235005880043,90,6,2777
55.5869302214885,87,7,2924
55.7420977956674,88,7,3061
55.8963330573592,89,7,3188
56.0469066974077,90,6,3237
56.2044707368722,91,6,3172
56.364325374892,92,6,3109
