"time","GEN","TEM","STRUCT"
0,1,1,1
1.22207192268754,2,1,499
2.20989410921462,3,1,506
3.19173207527001,4,1,485
3.88543848408405,3,2,770
4.42585351334477,3,2,946
4.91560309322645,3,2,1022
5.41240302396831,3,2,972
5.83448687851136,4,3,1139
6.22567936105663,4,2,1188
6.70683709779097,4,2,1120
7.1799487861954,5,2,1031
7.67246227547076,6,2,1038
8.16803540214766,7,2,983
8.61247117068182,7,3,1111
9.0316080258065,8,2,1177
9.50139872964744,8,2,1073
10.2851542483686,9,1,633
11.2359260056223,11,1,541
12.1778708631885,11,1,531
15.3267992206004,10,0,302
16.6449483399403,9,1,467
17.6668032550354,9,1,493
18.6687832917564,10,1,492
24.6773884033789,8,2,415
25.2945929857643,9,2,830
25.8170877372163,10,2,991
26.3378407110426,11,2,1020
26.8597736239281,13,2,992
27.4932200495279,15,1,755
28.3442653017694,15,1,543
29.5351957615519,16,1,471
30.549713173925,17,1,508
31.4239192537159,17,2,689
32.2649229054486,18,1,575
33.7536836205391,16,2,460
34.2100662841498,16,3,1030
34.5809144328639,18,3,1324
34.9232582569714,19,3,1377
35.3396723936078,19,1,1197
36.0799589391915,19,1,617
37.0428002258502,19,2,569
37.6254407451694,21,2,857
38.1443855373196,21,2,945
38.660989683492,21,2,977
39.1709065394472,20,3,988
39.557409501045,21,3,1207
39.8824694751123,20,3,1407
40.2189826956938,20,3,1517
40.6172012615418,21,2,1315
41.0678130409794,21,2,1113
41.4594081546221,21,3,1297
41.8037375170912,22,3,1396
42.1437072395484,25,3,1477
42.494407180193,26,3,1524
42.8256608579259,27,3,1523
43.1553383230167,27,3,1502
43.4652014417151,26,4,1623
43.7443162301118,27,4,1750
44.0053961781314,27,4,1800
44.2683666521394,29,4,1858
44.5299674908748,29,4,1880
44.781321083845,29,4,1950
45.0332154856826,30,4,2025
45.2815346709031,31,4,2048
45.564751262912,33,3,1831
45.8929658926559,33,3,1613
46.2082202155724,33,4,1567
46.4758211977651,33,4,1854
46.7278540112155,33,4,1908
47.0369205557231,33,3,1805
47.3489044892692,34,3,1690
47.6943472901979,35,2,1458
48.1125071208456,35,3,1274
48.4664506506905,36,3,1461
48.7550759496909,37,4,1604
49.0285643049422,37,4,1772
49.2647338111763,36,5,2007
49.4891377786902,38,4,2164
49.7302708687767,39,4,2097
49.971973839262,40,4,2024
