"time","GEN","TEM","STRUCT"
0,1,1,1
1.23938855058878,5,1,474
2.10979259620104,7,2,716
2.85011719266893,7,1,601
3.80267422846786,9,1,533
4.74552609715954,9,1,541
5.76717808483454,10,1,528
6.79247620757829,11,1,533
7.68649885682044,12,1,569
14.4982656614133,11,1,429
15.5185821235843,13,1,517
21.9197649112276,12,1,109
22.6164511935722,11,2,800
23.4728939538123,11,1,581
24.4369490653484,15,1,469
25.1049370099473,14,2,834
25.8169613749571,15,2,624
26.3857195751233,17,2,934
26.9313699602848,17,1,879
27.7574161321192,21,2,647
28.357386315479,22,1,841
29.1779438279722,22,1,591
30.0922433103165,23,1,554
30.8988659548498,21,3,738
31.3066001912305,22,3,1185
31.7004427431056,22,2,1186
32.1404319543882,21,4,1171
32.437684047636,23,4,1571
32.709254171279,23,4,1743
33.0106545478231,24,3,1667
33.3311591605021,23,3,1567
33.6557161189848,22,3,1589
33.9812968828923,22,3,1549
34.3148524849587,21,4,1566
34.5781250780765,21,4,1776
34.8479299262662,22,4,1853
35.0952155440727,25,4,1930
35.3383969052182,25,4,2024
35.6060868150407,25,3,1907
35.918589209362,25,3,1733
36.2783969808471,25,2,1424
36.7305836902416,25,2,1194
37.2067063127831,27,2,1060
37.9267656453139,28,1,654
38.6902309310554,27,2,757
39.5075360729994,29,1,592
40.4847123586371,30,1,517
41.4669336954902,31,1,542
42.3178154799209,31,2,710
42.7308658326258,31,3,1128
43.1030149043756,31,3,1312
43.4454591200268,31,3,1452
43.8298633165601,31,2,1306
44.2030654953187,30,3,1373
44.5429082846724,30,3,1501
44.8390890419572,29,4,1632
45.1088070339089,30,4,1797
45.3717292499728,30,4,1924
45.6346010147073,32,4,1912
45.8815142752864,31,5,2041
46.1010196765238,33,5,2207
46.3166323994661,33,4,2272
46.5467443191235,34,4,2185
46.7887671199241,34,3,2111
47.1195064134178,34,2,1648
47.5218828772483,35,2,1313
47.9644664401454,35,2,1173
48.4012245577343,34,2,1125
48.8792519528692,36,2,1059
49.2838866689819,36,3,1182
49.6538354271837,38,3,1352
50.0075656690053,41,2,1468
50.4519187154783,42,2,1185
50.8534529063072,41,3,1246
51.1474528171632,43,4,1566
51.4655609343414,42,3,1539
51.7960543628195,43,2,1537
52.223849357877,43,2,1205
52.7082012027526,44,2,1043
53.3030259952445,45,2,873
53.7822462903689,45,3,1133
54.1321457901775,47,4,1411
54.4442048961117,46,4,1575
54.7562309349599,46,3,1580
55.1640250642532,47,2,1209
55.6314111266653,49,2,1075
56.1196983110976,52,2,1026
56.6209004933396,52,2,1073
57.1170048560833,55,2,1010
57.6222432301832,54,2,964
58.0773821731381,53,3,1125
58.4293709162755,53,3,1321
58.7896495161679,53,1,1360
59.2591218467188,52,2,1185
59.6992254888621,51,3,1136
60.0204273902347,51,4,1466
60.3212459483723,51,4,1697
60.585306140875,51,4,1761
60.8379127574663,51,4,1893
61.0764963206777,51,4,2039
61.313581606843,51,5,2069
61.5571067864215,53,4,2042
61.8026380749703,52,4,1964
62.0525197505898,53,4,2023
62.2973980892055,53,4,1971
62.5512503320281,53,4,1971
62.7964649080524,54,4,1971
63.0547900344951,54,4,1929
63.349731356636,55,3,1719
63.6319338721585,53,4,1774
63.8698257531056,53,6,2014
64.0678993646011,53,6,2336
64.2438776959161,55,6,2566
64.4154463111444,55,7,2726
64.5681570736393,56,7,2955
64.7193565628163,54,8,3120
64.8606559074998,55,8,3329
64.991657008517,54,9,3496
65.1136414432947,54,9,3723
65.2368047124359,55,9,3910
65.3536540334605,54,10,4055
65.4644577412563,55,10,4220
65.5643290465119,54,11,4499
65.671238226591,55,10,4553
65.7722296775308,58,10,4551
65.8777516386773,59,10,4652
65.9815553676539,59,9,4617
66.0908880958034,60,9,4652
66.1977105522962,59,10,4655
66.3045868771414,59,10,4749
66.4049157517412,59,10,4775
66.5051354575486,58,10,4845
66.6050431257185,58,11,4919
66.7024932062045,60,10,5002
66.7998959937866,59,10,4990
66.8976750734537,60,11,5029
66.9913464226293,61,10,5067
67.0885624775483,61,10,5077
67.1900141629055,61,10,5045
67.2902372866086,62,10,5086
67.3885953700333,62,10,5004
67.4914786932754,63,10,5049
67.5929949157088,64,9,4969
67.6969135566344,65,9,4962
67.8099420405686,65,9,4867
67.9179825440083,65,9,4787
68.0243771276807,66,9,4798
68.1320526353054,67,9,4712
68.2415115069156,68,9,4667
68.353412639839,69,9,4557
68.4638454976843,70,9,4550
68.5740443801781,71,9,4605
68.6867477539053,71,9,4587
68.8012316956397,71,9,4550
68.919794527655,72,8,4480
69.0495653763947,72,7,4331
69.1740039153373,72,7,4107
69.3019726212069,71,7,4009
69.4349116638287,71,7,3911
69.5601081561474,69,8,3962
69.6845370844811,71,7,4008
69.8255709996977,70,7,3970
69.9525282382964,70,7,3870
70.0995312069628,72,6,3729
70.2447031471275,71,6,3527
70.4081260660367,71,5,3320
70.5838267757237,72,5,3095
70.7629655607905,72,5,2921
70.9475094334712,70,5,2833
71.1369688547075,69,5,2763
71.3487745226985,69,4,2473
71.5798934734639,69,3,2174
71.8607146791485,71,3,1844
72.163530739137,70,3,1666
72.4881354132904,70,3,1519
72.9150808212774,70,1,1091
73.4701636939709,70,2,987
73.9615521878912,71,2,1024
