"time","GEN","TEM","STRUCT"
0,1,1,1
2.03963621250992,2,0,40
56.6838750995275,1,1,457
58.9305634677212,2,0,23
61.6704692810277,3,1,466
62.6629133145564,4,1,485
63.6490657035561,4,1,531
64.5921352617607,5,1,520
65.5813451011122,7,1,504
66.5727128182979,10,1,489
67.5742598705263,11,1,486
69.2177689455548,10,1,318
70.2650873484403,11,1,465
71.3243084156819,11,1,499
72.3374161643457,12,1,488
73.5265357045249,14,0,307
78.6218819367266,14,1,439
79.6309457230915,14,1,519
80.6045365626184,14,1,551
81.5662415074256,15,1,510
82.566688909034,15,1,526
83.5179593418163,16,1,491
84.5834100737949,16,1,500
85.6527342808183,17,1,517
86.6402055306141,19,1,523
88.8787737254742,19,1,428
89.8814071563874,19,1,490
90.9136448357171,19,1,496
91.5994581722174,19,2,788
92.2992934822729,20,1,650
94.7142007040356,19,0,357
96.5899618249966,19,1,433
98.276699886795,19,1,100
99.4138654119682,19,1,488
100.316672709007,18,2,667
100.880775483934,19,2,868
101.547542495402,20,1,708
102.448673112608,22,1,508
103.702206786671,20,1,460
104.5797061735,19,2,641
105.499904897275,19,1,507
106.467512818262,20,1,514
107.497333229107,23,1,533
108.301467617245,20,3,703
108.712822373009,22,3,1175
109.06914279841,24,3,1331
109.453772515246,26,2,1374
109.906289445863,26,2,1173
110.279130937627,25,3,1390
110.619834162355,26,3,1459
110.98291994193,27,2,1335
111.384119432396,29,3,1325
111.733039091928,31,3,1379
112.076142516831,33,3,1481
112.399323284567,33,3,1477
112.756411465311,33,2,1352
113.207676884024,33,2,1134
113.857951243223,31,3,777
114.258169150706,32,3,1218
114.612137920117,36,3,1362
114.951854552172,38,3,1492
115.27836249887,36,4,1523
115.552318332397,37,4,1774
115.817657608237,38,4,1879
116.085342064557,36,4,1867
116.368434066057,37,3,1777
116.677803544265,37,3,1678
116.957049052372,37,4,1787
117.236965903178,38,3,1795
117.544972526033,38,3,1645
117.901273754869,38,2,1446
118.250400649087,37,3,1481
118.582600122725,37,3,1465
118.925643378139,37,3,1519
119.26836022789,37,2,1443
119.685884192077,36,2,1229
120.166839470888,37,2,978
120.675474075881,38,2,1005
121.22617932271,38,2,884
121.742335906009,40,2,956
122.159766965231,40,3,1162
122.541556918122,39,3,1343
122.88991028108,39,3,1403
123.225734487229,38,3,1479
123.572227391441,40,3,1473
123.91672256729,42,3,1459
124.204146633454,42,4,1723
124.438148736323,42,5,1981
124.670863226224,42,4,2052
124.89755176152,43,5,2175
125.109523101103,42,5,2317
125.324700049233,42,4,2318
125.557879831524,43,3,2202
125.842175211952,43,3,1854
126.113055214368,42,4,1824
126.321146138116,42,6,2174
126.499114411142,42,7,2562
126.658844765413,42,7,2858
126.812198844818,43,7,2983
126.961754068915,44,7,3130
127.108796412961,44,7,3246
127.257203739452,46,7,3326
127.399400028141,46,7,3426
127.549166283419,49,7,3429
127.699560921451,50,7,3450
127.843876091236,50,7,3405
127.986387022939,51,7,3430
128.138304006475,50,6,3393
128.308025289807,53,5,3157
128.478041536684,52,6,3046
128.641707881125,52,6,3028
128.788849206304,51,8,3172
128.933146595535,53,8,3406
129.067148607002,52,9,3519
129.193705303836,54,9,3691
129.323401173717,56,8,3802
129.455618455664,56,7,3839
129.592980713473,57,7,3806
129.720420823484,58,8,3863
129.848493176316,58,8,3877
129.977146841987,58,9,3893
130.097752352937,58,9,3989
130.214055203883,58,9,4147
130.331310781172,58,9,4163
130.452309871474,58,8,4206
130.575440398528,58,7,4171
130.711779095678,59,6,3929
130.853363070659,57,6,3747
131.003695759935,57,6,3545
131.161374083005,58,5,3425
131.339816933316,58,4,3185
131.528346494611,59,5,2918
131.714759418287,59,5,2790
131.905847467103,59,4,2627
132.120507719638,59,4,2371
132.368573558565,60,4,2198
132.576923242926,61,5,2281
132.785463209144,61,5,2409
132.992030494148,62,5,2484
133.18990113621,61,6,2545
133.367945147395,61,6,2661
133.532756932476,63,6,2745
133.709176755317,64,6,2854
133.888368565135,65,6,2915
134.055823558416,67,6,2951
134.22837668411,69,6,2939
134.394417602258,68,6,2895
134.567235747211,69,6,2950
134.742005155019,69,6,3003
134.913024778446,70,6,3084
135.079781768096,70,6,3076
135.241410190926,71,6,3055
135.405823478595,71,5,3036
135.586715817466,73,5,2880
135.759244996314,76,6,2875
135.939840599487,77,6,2878
136.112517123744,78,6,2871
136.288382860539,80,6,2917
136.47762403215,79,6,2861
136.648189756372,79,6,2918
136.81924564958,80,6,2945
136.986089240337,82,6,2973
137.156124270803,81,6,3013
137.319185287474,81,7,3065
137.466409798004,80,8,3238
137.626678635611,82,5,3257
137.809231030334,82,5,2993
137.992394043454,82,5,2856
138.168363987989,81,6,2847
138.335776854771,80,6,2954
138.508692090176,81,6,3075
138.672960067216,81,5,2992
138.857535443857,79,6,2841
139.022644828492,82,6,2876
139.180321359272,82,7,3014
139.336513903856,82,6,3043
139.511149271251,84,5,2939
139.703857133447,86,5,2867
139.875885425803,88,6,2877
140.047293340658,88,6,2887
140.21610510548,88,6,2989
140.385307654762,88,6,3019
140.552192978639,89,5,2994
140.735680342558,90,5,2790
140.930041257278,90,4,2723
141.161274679812,90,3,2318
141.427668296528,91,3,1983
141.706993363263,90,3,1897
142.008256339595,92,3,1724
142.282181274738,92,4,1794
142.537785851771,94,4,1930
142.783041167846,94,4,2019
143.065347322302,93,3,1762
143.334813206773,91,4,1850
143.598213791631,92,4,1967
143.823360303683,91,5,2064
144.038898597375,92,4,2222
144.269053887488,91,4,2154
144.522046218063,91,4,2068
144.798111504144,91,3,1862
145.039263265839,88,6,2086
145.227574391709,87,6,2388
145.410308748195,85,8,2596
145.564968886884,86,7,2924
145.711302449273,84,7,3112
145.864720795077,84,6,3135
146.044205669666,85,5,2957
146.228508627963,85,5,2777
146.41360027642,85,5,2727
146.597085761005,85,6,2739
146.782747963956,85,5,2676
146.980062189926,88,5,2641
147.17995131852,87,4,2455
147.413494800376,88,4,2334
147.640923597517,90,4,2216
147.884118041925,90,4,2125
148.115113201204,94,5,2085
148.329382556944,95,5,2263
148.544195262426,96,5,2334
148.733463557403,93,6,2505
148.903202422532,90,8,2668
149.046425913414,91,9,3083
149.173317346921,90,10,3428
149.29047844028,89,10,3758
149.401972536134,88,10,3998
149.514922722638,90,9,4191
149.631329695096,88,9,4223
149.738146097003,89,10,4396
149.845917567723,90,9,4452
149.956885108802,92,9,4473
150.070013710529,93,10,4632
150.172415682471,97,10,4692
150.272115602044,95,11,4741
150.369876589409,96,10,4837
150.47798471827,97,9,4783
150.586256798234,98,9,4784
150.690162818451,99,10,4784
150.788740139337,96,11,4859
150.887095999101,97,11,4920
150.980162231929,99,11,4966
151.072025038353,99,11,5072
151.163857702491,99,11,5112
151.258667135162,101,11,5164
151.35686994814,101,9,5136
151.461048594036,102,9,5053
151.569432399706,103,9,4876
151.677149892675,103,9,4807
151.788012959762,105,9,4765
151.897516628649,106,9,4689
152.007242326936,108,9,4707
152.113034359419,109,9,4734
152.222254904732,108,9,4638
152.334717460617,109,9,4607
152.442664728471,110,9,4669
152.550443389769,113,9,4568
152.663735078772,115,8,4553
152.779705376527,117,9,4497
152.890286910875,119,9,4551
153.00305771272,119,8,4487
153.131298495811,119,8,4326
153.255032208278,122,8,4223
153.38847578738,121,6,4019
153.520626584582,121,7,3907
153.65484187739,122,7,3801
153.786267174863,122,8,3877
153.9201326656,123,7,3829
154.064313002438,122,7,3725
154.218768000621,122,6,3596
154.373452625938,122,6,3456
154.531905963882,121,6,3370
154.693646198986,122,6,3259
154.855705098491,120,6,3153
155.024838949307,121,6,3168
155.185770425677,117,6,3120
155.343189458918,113,6,3110
155.512633263532,112,6,3088
155.674453879809,113,6,3019
155.83616760767,113,6,3027
156.000242455762,113,6,3001
156.161737594339,113,7,3086
156.304906555438,112,8,3361
156.433217745835,111,8,3518
156.569058483738,111,8,3620
156.70008701714,113,8,3702
156.832468265493,113,8,3794
156.956465029031,112,9,3867
157.069258894529,111,10,4084
157.174239147755,113,10,4309
157.272679290892,113,11,4571
157.364439808395,111,12,4836
157.453764183526,110,12,5098
157.537398665211,112,13,5235
157.617481480387,113,13,5459
157.703804758115,115,12,5594
157.793541318692,116,11,5594
157.882573085129,117,11,5574
157.970914810148,116,12,5673
158.05022065091,116,13,5733
158.129701251456,115,13,5831
158.212835831873,115,14,5895
158.28886456261,115,14,6043
158.365446665826,114,14,6187
158.441716078211,114,14,6293
158.514943740421,115,13,6399
158.594207768587,115,13,6392
158.669959285471,118,13,6365
158.74640892443,119,13,6388
158.82222797819,119,12,6359
158.90387263688,119,12,6322
158.983880812261,120,11,6258
159.068350797466,119,11,6173
159.151355785668,119,11,6159
159.238430739249,119,11,6107
159.324681082816,119,11,5945
159.411539086875,119,11,5883
159.496917146334,121,11,5827
159.584527959256,123,11,5824
159.670829450833,120,12,5771
159.756832187602,120,12,5792
159.843365936597,122,12,5850
159.924658905848,122,11,5869
160.015257088984,122,11,5817
160.103408282377,123,11,5793
160.192104393861,126,11,5822
160.279070519779,126,10,5673
160.371388983317,127,10,5551
160.467777445442,126,10,5457
160.564719760616,126,10,5365
160.659008032493,128,10,5345
160.758280096349,126,10,5287
160.855394065443,126,10,5205
160.95278952839,127,9,5137
161.054014800086,125,10,5102
161.156815910703,124,10,5017
161.258942676309,124,9,4956
161.376109650013,123,8,4836
161.49022836967,124,8,4682
161.618508175607,124,6,4397
161.751387181627,124,7,4191
